data set,fold,shrinkage,depth,accuracy
movie,3,0.05,4,0.5070422535211268
movie,3,0.05,6,0.5070422535211268
movie,3,0.05,8,0.5070422535211268
movie,3,0.2,2,0.5070422535211268
movie,3,0.2,4,0.5070422535211268
movie,3,0.2,6,0.5070422535211268
movie,3,0.2,8,0.5070422535211268
movie,3,0.4,2,0.5070422535211268
movie,3,0.4,4,0.5070422535211268
movie,3,0.4,6,0.5070422535211268
movie,3,0.4,8,0.5070422535211268
movie,3,0.6,2,0.5070422535211268
movie,3,0.6,4,0.5070422535211268
movie,3,0.6,6,0.5070422535211268
movie,3,0.6,8,0.5070422535211268
movie,4,0.05,2,0.5070422535211268
movie,4,0.05,4,0.5070422535211268
movie,4,0.05,6,0.5070422535211268
movie,4,0.05,8,0.5070422535211268
movie,4,0.2,2,0.5070422535211268
movie,4,0.2,4,0.5070422535211268
movie,4,0.2,6,0.5070422535211268
movie,4,0.2,8,0.5070422535211268
movie,4,0.4,2,0.5070422535211268
movie,4,0.4,4,0.5070422535211268
movie,4,0.4,6,0.5070422535211268
movie,4,0.4,8,0.5070422535211268
movie,4,0.6,2,0.5070422535211268
movie,4,0.6,4,0.5070422535211268
movie,4,0.6,6,0.5070422535211268
movie,4,0.6,8,0.5070422535211268
movie,5,0.05,2,0.5070422535211268
movie,5,0.05,4,0.5070422535211268
movie,5,0.05,6,0.5070422535211268
movie,5,0.05,8,0.5070422535211268
movie,5,0.2,2,0.5070422535211268
movie,5,0.2,4,0.5070422535211268
movie,5,0.2,6,0.5070422535211268
movie,5,0.2,8,0.5070422535211268
movie,5,0.4,2,0.5070422535211268
movie,5,0.4,4,0.5070422535211268
movie,5,0.4,6,0.5070422535211268
movie,5,0.4,8,0.5070422535211268
movie,5,0.6,2,0.5070422535211268
movie,5,0.6,4,0.5070422535211268
movie,5,0.6,6,0.5070422535211268
movie,5,0.6,8,0.5070422535211268
movie,6,0.05,2,0.5070422535211268
movie,6,0.05,4,0.5070422535211268
movie,6,0.05,6,0.5070422535211268
movie,6,0.05,8,0.5070422535211268
movie,6,0.2,2,0.5070422535211268
movie,6,0.2,4,0.5070422535211268
movie,6,0.2,6,0.5070422535211268
movie,6,0.2,8,0.5070422535211268
movie,6,0.4,2,0.5070422535211268
movie,6,0.4,4,0.5070422535211268
movie,6,0.4,6,0.5070422535211268
movie,6,0.4,8,0.5070422535211268
movie,6,0.6,2,0.5070422535211268
movie,6,0.6,4,0.5070422535211268
movie,6,0.6,6,0.5070422535211268
movie,6,0.6,8,0.5070422535211268
movie,7,0.05,2,0.5140845070422535
movie,7,0.05,4,0.5140845070422535
movie,7,0.05,6,0.5140845070422535
movie,7,0.05,8,0.5140845070422535
movie,7,0.2,2,0.5140845070422535
movie,7,0.2,4,0.5140845070422535
movie,7,0.2,6,0.5140845070422535
movie,7,0.2,8,0.5140845070422535
movie,7,0.4,2,0.5140845070422535
movie,7,0.4,4,0.5140845070422535
movie,7,0.4,6,0.5140845070422535
movie,7,0.4,8,0.5140845070422535
movie,7,0.6,2,0.5140845070422535
movie,7,0.6,4,0.5140845070422535
movie,7,0.6,6,0.5140845070422535
movie,7,0.6,8,0.5140845070422535
movie,8,0.05,2,0.5140845070422535
movie,8,0.05,4,0.5140845070422535
movie,8,0.05,6,0.5140845070422535
movie,8,0.05,8,0.5140845070422535
movie,8,0.2,2,0.5140845070422535
movie,8,0.2,4,0.5140845070422535
movie,8,0.2,6,0.5140845070422535
movie,8,0.2,8,0.5140845070422535
movie,8,0.4,2,0.5140845070422535
movie,8,0.4,4,0.5140845070422535
movie,8,0.4,6,0.5140845070422535
movie,8,0.4,8,0.5140845070422535
movie,8,0.6,2,0.5140845070422535
movie,8,0.6,4,0.5140845070422535
movie,8,0.6,6,0.5140845070422535
movie,8,0.6,8,0.5140845070422535
movie,9,0.05,2,0.5140845070422535
movie,9,0.05,4,0.5140845070422535
movie,9,0.05,6,0.5140845070422535
movie,9,0.05,8,0.5140845070422535
movie,9,0.2,2,0.5140845070422535
movie,9,0.2,4,0.5140845070422535
movie,9,0.2,6,0.5140845070422535
movie,9,0.2,8,0.5140845070422535
movie,9,0.4,2,0.5140845070422535
movie,9,0.4,4,0.5140845070422535
movie,9,0.4,6,0.5140845070422535
movie,9,0.4,8,0.5140845070422535
movie,9,0.6,2,0.5140845070422535
movie,9,0.6,4,0.5140845070422535
movie,9,0.6,6,0.5140845070422535
movie,9,0.6,8,0.5140845070422535
mutagenesis,0,0.05,2,0.3684210526315789
mutagenesis,0,0.05,4,0.3684210526315789
mutagenesis,0,0.05,6,0.3684210526315789
mutagenesis,0,0.05,8,0.3684210526315789
mutagenesis,0,0.2,2,0.3684210526315789
mutagenesis,0,0.2,4,0.3684210526315789
mutagenesis,0,0.2,6,0.3684210526315789
mutagenesis,0,0.2,8,0.3684210526315789
mutagenesis,0,0.4,2,0.3684210526315789
mutagenesis,0,0.4,4,0.3684210526315789
mutagenesis,0,0.4,6,0.3684210526315789
